commodity,Year,price
Wheat,2016,0.1915897435897436
Wheat,2017,0.19572916666666665
Wheat,2018,0.22875
Wheat,2019,0.22197916666666664
Wheat,2020,0.23212121212121212
Wheat (feed),2010,0.19761904761904764
Wheat (feed),2011,0.2710526315789474
Wheat (feed),2012,0.2917391304347826
Wheat (feed),2013,0.27
Wheat (feed),2014,0.2354166666666667
Wheat (feed),2015,0.19083333333333333
Wheat (feed),2016,0.1679166666666667
Wheat (feed),2017,0.18333333333333335
Wheat (feed),2018,0.20421052631578948
Wheat (feed),2019,0.19857142857142857
Wheat (feed),2020,0.21333333333333335
Wheat (milling),2010,0.19833333333333333
Wheat (milling),2011,0.27305555555555555
Wheat (milling),2012,0.28791666666666665
Wheat (milling),2013,0.2902222222222222
Wheat (milling),2014,0.26489583333333333
Wheat (milling),2015,0.215
Wheat (milling),2016,0.17937499999999998
Wheat (milling),2017,0.1865625
Wheat (milling),2018,0.20479166666666668
Wheat (milling),2019,0.21208333333333332
Wheat (milling),2020,0.2275
