,time,country,commodity,price
81,2013-09-01,Australia,Beef,3.91
82,2013-08-01,Australia,Beef,3.83
83,2013-07-01,Australia,Beef,3.72
84,2013-06-01,Australia,Beef,3.69
85,2013-05-01,Australia,Beef,3.8
86,2013-04-01,Australia,Beef,4.11
87,2013-03-01,Australia,Beef,4.16
88,2013-02-01,Australia,Beef,4.27
89,2013-01-01,Australia,Beef,4.36
90,2012-12-01,Australia,Beef,4.43
91,2012-11-01,Australia,Beef,4.3
92,2012-10-01,Australia,Beef,4.06
93,2012-09-01,Australia,Beef,4.09
94,2012-08-01,Australia,Beef,4.14
95,2012-07-01,Australia,Beef,3.99
96,2012-06-01,Australia,Beef,3.96
97,2012-05-01,Australia,Beef,4.09
98,2012-04-01,Australia,Beef,4.23
99,2012-03-01,Australia,Beef,4.35
100,2012-02-01,Australia,Beef,4.29
101,2012-01-01,Australia,Beef,4.19
102,2011-12-01,Australia,Beef,4.16
103,2011-11-01,Australia,Beef,4.14
104,2011-10-01,Australia,Beef,3.8
105,2011-09-01,Australia,Beef,3.71
106,2011-08-01,Australia,Beef,3.88
107,2011-07-01,Australia,Beef,3.76
108,2011-06-01,Australia,Beef,3.71
109,2011-05-01,Australia,Beef,3.87
110,2011-04-01,Australia,Beef,4.2
111,2011-03-01,Australia,Beef,4.15
112,2011-02-01,Australia,Beef,3.97
113,2011-01-01,Australia,Beef,4.0
114,2010-12-01,Australia,Beef,3.73
115,2010-11-01,Australia,Beef,3.33
116,2010-10-01,Australia,Beef,3.28
117,2010-09-01,Australia,Beef,3.32
118,2010-08-01,Australia,Beef,3.33
119,2010-07-01,Australia,Beef,3.11
120,2010-06-01,Australia,Beef,3.14
121,2010-05-01,Australia,Beef,3.37
122,2010-04-01,Australia,Beef,3.47
123,2010-03-01,Australia,Beef,3.23
124,2010-02-01,Australia,Beef,3.07
125,2010-01-01,Australia,Beef,2.89
126,2020-06-01,Australia,Barley (feed),0.19
127,2020-05-01,Australia,Barley (feed),0.19
128,2020-04-01,Australia,Barley (feed),0.22
129,2020-03-01,Australia,Barley (feed),0.2
130,2020-02-01,Australia,Barley (feed),0.22
131,2020-01-01,Australia,Barley (feed),0.23
132,2019-12-01,Australia,Barley (feed),0.22
133,2019-11-01,Australia,Barley (feed),0.21
134,2019-10-01,Australia,Barley (feed),0.22
135,2019-09-01,Australia,Barley (feed),0.22
136,2019-08-01,Australia,Barley (feed),0.22
137,2019-07-01,Australia,Barley (feed),0.24
138,2019-06-01,Australia,Barley (feed),0.25
139,2019-05-01,Australia,Barley (feed),0.24
140,2019-04-01,Australia,Barley (feed),0.25
141,2019-03-01,Australia,Barley (feed),0.25
142,2019-02-01,Australia,Barley (feed),0.25
143,2019-01-01,Australia,Barley (feed),0.27
144,2018-12-01,Australia,Barley (feed),0.27
145,2018-11-01,Australia,Barley (feed),0.26
146,2018-10-01,Australia,Barley (feed),0.3
147,2018-09-01,Australia,Barley (feed),0.3
148,2018-08-01,Australia,Barley (feed),0.29
149,2018-07-01,Australia,Barley (feed),0.26
150,2018-06-01,Australia,Barley (feed),0.26
151,2018-05-01,Australia,Barley (feed),0.24
152,2018-04-01,Australia,Barley (feed),0.24
153,2018-03-01,Australia,Barley (feed),0.23
154,2018-02-01,Australia,Barley (feed),0.24
155,2018-01-01,Australia,Barley (feed),0.22
156,2017-12-01,Australia,Barley (feed),0.21
157,2017-11-01,Australia,Barley (feed),0.21
158,2017-10-01,Australia,Barley (feed),0.2
159,2017-09-01,Australia,Barley (feed),0.21
160,2017-08-01,Australia,Barley (feed),0.2
161,2017-07-01,Australia,Barley (feed),0.21
162,2017-06-01,Australia,Barley (feed),0.2
163,2017-05-01,Australia,Barley (feed),0.17
164,2017-04-01,Australia,Barley (feed),0.17
165,2017-03-01,Australia,Barley (feed),0.17
166,2017-02-01,Australia,Barley (feed),0.17
167,2017-01-01,Australia,Barley (feed),0.16
168,2016-12-01,Australia,Barley (feed),0.15
169,2016-11-01,Australia,Barley (feed),0.16
170,2016-10-01,Australia,Barley (feed),0.15
171,2016-09-01,Australia,Barley (feed),0.14
172,2016-08-01,Australia,Barley (feed),0.15
173,2016-07-01,Australia,Barley (feed),0.17
174,2016-06-01,Australia,Barley (feed),0.18
175,2016-05-01,Australia,Barley (feed),0.18
176,2016-04-01,Australia,Barley (feed),0.17
177,2016-03-01,Australia,Barley (feed),0.17
178,2016-02-01,Australia,Barley (feed),0.17
179,2016-01-01,Australia,Barley (feed),0.18
180,2015-12-01,Australia,Barley (feed),0.18
181,2015-11-01,Australia,Barley (feed),0.19
182,2015-10-01,Australia,Barley (feed),0.19
183,2015-09-01,Australia,Barley (feed),0.19
184,2015-08-01,Australia,Barley (feed),0.21
185,2015-07-01,Australia,Barley (feed),0.23
186,2015-06-01,Australia,Barley (feed),0.23
187,2015-05-01,Australia,Barley (feed),0.24
188,2015-04-01,Australia,Barley (feed),0.24
189,2015-03-01,Australia,Barley (feed),0.24
190,2015-02-01,Australia,Barley (feed),0.24
191,2015-01-01,Australia,Barley (feed),0.25
192,2014-12-01,Australia,Barley (feed),0.26
193,2014-11-01,Australia,Barley (feed),0.26
194,2014-10-01,Australia,Barley (feed),0.25
195,2014-09-01,Australia,Barley (feed),0.23
196,2014-08-01,Australia,Barley (feed),0.22
197,2014-07-01,Australia,Barley (feed),0.25
198,2014-06-01,Australia,Barley (feed),0.25
199,2014-05-01,Australia,Barley (feed),0.26
200,2014-04-01,Australia,Barley (feed),0.26
201,2014-03-01,Australia,Barley (feed),0.25
202,2014-02-01,Australia,Barley (feed),0.24
203,2014-01-01,Australia,Barley (feed),0.23
204,2013-12-01,Australia,Barley (feed),0.22
205,2013-11-01,Australia,Barley (feed),0.23
206,2013-10-01,Australia,Barley (feed),0.23
207,2013-09-01,Australia,Barley (feed),0.23
208,2013-08-01,Australia,Barley (feed),0.23
209,2013-07-01,Australia,Barley (feed),0.26
210,2013-06-01,Australia,Barley (feed),0.27
211,2013-05-01,Australia,Barley (feed),0.29
212,2013-04-01,Australia,Barley (feed),0.28
213,2013-03-01,Australia,Barley (feed),0.28
214,2013-02-01,Australia,Barley (feed),0.3
215,2013-01-01,Australia,Barley (feed),0.31
216,2012-12-01,Australia,Barley (feed),0.31
217,2012-11-01,Australia,Barley (feed),0.3
218,2012-10-01,Australia,Barley (feed),0.31
219,2012-09-01,Australia,Barley (feed),0.31
220,2012-08-01,Australia,Barley (feed),0.31
221,2012-07-01,Australia,Barley (feed),0.3
222,2012-06-01,Australia,Barley (feed),0.25
223,2012-05-01,Australia,Barley (feed),0.25
224,2012-04-01,Australia,Barley (feed),0.25
225,2012-03-01,Australia,Barley (feed),0.25
226,2012-02-01,Australia,Barley (feed),0.25
227,2012-01-01,Australia,Barley (feed),0.25
228,2011-12-01,Australia,Barley (feed),0.23
229,2011-11-01,Australia,Barley (feed),0.23
230,2011-10-01,Australia,Barley (feed),0.24
231,2011-09-01,Australia,Barley (feed),0.25
232,2011-08-01,Australia,Barley (feed),0.26
233,2011-07-01,Australia,Barley (feed),0.26
234,2011-06-01,Australia,Barley (feed),0.27
235,2011-05-01,Australia,Barley (feed),0.25
236,2011-04-01,Australia,Barley (feed),0.25
237,2011-03-01,Australia,Barley (feed),0.25
238,2011-02-01,Australia,Barley (feed),0.27
239,2011-01-01,Australia,Barley (feed),0.26
240,2010-12-01,Australia,Barley (feed),0.23
241,2010-11-01,Australia,Barley (feed),0.24
242,2010-10-01,Australia,Barley (feed),0.26
243,2010-09-01,Australia,Barley (feed),0.26
244,2010-08-01,Australia,Barley (feed),0.25
245,2010-07-01,Australia,Barley (feed),0.18
246,2010-06-01,Australia,Barley (feed),0.16
247,2010-05-01,Australia,Barley (feed),0.16
248,2010-04-01,Australia,Barley (feed),0.15
249,2010-03-01,Australia,Barley (feed),0.15
250,2010-02-01,Australia,Barley (feed),0.15
251,2010-01-01,Australia,Barley (feed),0.15
252,2020-06-01,Australia,Wheat,0.23
253,2020-05-01,Australia,Wheat,0.27
254,2020-04-01,Australia,Wheat,0.28
255,2020-03-01,Australia,Wheat,0.24
256,2020-02-01,Australia,Wheat,0.25
257,2020-01-01,Australia,Wheat,0.26
258,2019-12-01,Australia,Wheat,0.25
259,2019-11-01,Australia,Wheat,0.24
260,2019-10-01,Australia,Wheat,0.24
261,2019-09-01,Australia,Wheat,0.24
262,2019-08-01,Australia,Wheat,0.23
263,2019-07-01,Australia,Wheat,0.25
264,2019-06-01,Australia,Wheat,0.25
265,2019-05-01,Australia,Wheat,0.23
266,2019-04-01,Australia,Wheat,0.25
267,2019-03-01,Australia,Wheat,0.26
268,2019-02-01,Australia,Wheat,0.28
269,2019-01-01,Australia,Wheat,0.3
270,2018-12-01,Australia,Wheat,0.31
271,2018-11-01,Australia,Wheat,0.3
272,2018-10-01,Australia,Wheat,0.32
273,2018-09-01,Australia,Wheat,0.29
274,2018-08-01,Australia,Wheat,0.31
275,2018-07-01,Australia,Wheat,0.26
276,2018-06-01,Australia,Wheat,0.25
277,2018-05-01,Australia,Wheat,0.25
278,2018-04-01,Australia,Wheat,0.23
279,2018-03-01,Australia,Wheat,0.22
280,2018-02-01,Australia,Wheat,0.22
281,2018-01-01,Australia,Wheat,0.22
282,2017-12-01,Australia,Wheat,0.21
283,2017-11-01,Australia,Wheat,0.21
284,2017-10-01,Australia,Wheat,0.21
285,2017-09-01,Australia,Wheat,0.22
286,2017-08-01,Australia,Wheat,0.21
287,2017-07-01,Australia,Wheat,0.24
288,2017-06-01,Australia,Wheat,0.21
289,2017-05-01,Australia,Wheat,0.18
290,2017-04-01,Australia,Wheat,0.18
291,2017-03-01,Australia,Wheat,0.18
292,2017-02-01,Australia,Wheat,0.18
293,2017-01-01,Australia,Wheat,0.17
294,2016-12-01,Australia,Wheat,0.18
295,2016-11-01,Australia,Wheat,0.19
296,2016-10-01,Australia,Wheat,0.19
297,2016-09-01,Australia,Wheat,0.19
298,2016-08-01,Australia,Wheat,0.19
299,2016-07-01,Australia,Wheat,0.21
300,2016-06-01,Australia,Wheat,0.22
301,2016-05-01,Australia,Wheat,0.22
302,2016-04-01,Australia,Wheat,0.22
303,2016-03-01,Australia,Wheat,0.21
304,2016-02-01,Australia,Wheat,0.21
305,2016-01-01,Australia,Wheat,0.2
306,2015-12-01,Australia,Wheat,0.21
307,2015-11-01,Australia,Wheat,0.21
308,2015-10-01,Australia,Wheat,0.22
309,2015-09-01,Australia,Wheat,0.2
310,2015-08-01,Australia,Wheat,0.23
311,2015-07-01,Australia,Wheat,0.24
312,2015-06-01,Australia,Wheat,0.25
313,2015-05-01,Australia,Wheat,0.24
314,2015-04-01,Australia,Wheat,0.24
315,2015-03-01,Australia,Wheat,0.23
316,2015-02-01,Australia,Wheat,0.24
317,2015-01-01,Australia,Wheat,0.26
318,2014-12-01,Australia,Wheat,0.27
319,2014-11-01,Australia,Wheat,0.27
320,2014-10-01,Australia,Wheat,0.26
321,2014-09-01,Australia,Wheat,0.26
322,2014-08-01,Australia,Wheat,0.26
323,2014-07-01,Australia,Wheat,0.26
324,2014-06-01,Australia,Wheat,0.28
325,2014-05-01,Australia,Wheat,0.29
326,2014-04-01,Australia,Wheat,0.29
327,2014-03-01,Australia,Wheat,0.28
328,2014-02-01,Australia,Wheat,0.26
329,2014-01-01,Australia,Wheat,0.25
330,2013-12-01,Australia,Wheat,0.27
331,2013-11-01,Australia,Wheat,0.28
332,2013-10-01,Australia,Wheat,0.28
333,2013-09-01,Australia,Wheat,0.29
334,2013-08-01,Australia,Wheat,0.29
335,2013-07-01,Australia,Wheat,0.29
336,2013-06-01,Australia,Wheat,0.3
337,2013-05-01,Australia,Wheat,0.31
338,2013-04-01,Australia,Wheat,0.3
339,2013-03-01,Australia,Wheat,0.3
340,2013-02-01,Australia,Wheat,0.31
341,2013-01-01,Australia,Wheat,0.33
342,2012-12-01,Australia,Wheat,0.34
343,2012-11-01,Australia,Wheat,0.34
344,2012-10-01,Australia,Wheat,0.34
345,2012-09-01,Australia,Wheat,0.35
346,2012-08-01,Australia,Wheat,0.35
347,2012-07-01,Australia,Wheat,0.33
348,2012-06-01,Australia,Wheat,0.28
349,2012-05-01,Australia,Wheat,0.27
350,2012-04-01,Australia,Wheat,0.25
351,2012-03-01,Australia,Wheat,0.25
352,2012-02-01,Australia,Wheat,0.26
353,2012-01-01,Australia,Wheat,0.25
354,2011-12-01,Australia,Wheat,0.23
355,2011-11-01,Australia,Wheat,0.23
356,2011-10-01,Australia,Wheat,0.23
357,2011-09-01,Australia,Wheat,0.25
358,2011-08-01,Australia,Wheat,0.26
359,2011-07-01,Australia,Wheat,0.24
360,2011-06-01,Australia,Wheat,0.27
361,2011-05-01,Australia,Wheat,0.27
362,2011-04-01,Australia,Wheat,0.29
363,2011-03-01,Australia,Wheat,0.28
364,2011-02-01,Australia,Wheat,0.3
365,2011-01-01,Australia,Wheat,0.3
366,2010-12-01,Australia,Wheat,0.32
367,2010-11-01,Australia,Wheat,0.29
368,2010-10-01,Australia,Wheat,0.29
369,2010-09-01,Australia,Wheat,0.29
370,2010-08-01,Australia,Wheat,0.27
371,2010-07-01,Australia,Wheat,0.2
372,2010-06-01,Australia,Wheat,0.18
373,2010-05-01,Australia,Wheat,0.18
374,2010-04-01,Australia,Wheat,0.18
375,2010-03-01,Australia,Wheat,0.19
376,2010-02-01,Australia,Wheat,0.19
377,2010-01-01,Australia,Wheat,0.2
378,2020-06-01,Bangladesh,Jute,
379,2020-05-01,Bangladesh,Jute,
380,2020-04-01,Bangladesh,Jute,
381,2020-03-01,Bangladesh,Jute,
382,2020-02-01,Bangladesh,Jute,
383,2020-01-01,Bangladesh,Jute,
384,2019-12-01,Bangladesh,Jute,
385,2019-11-01,Bangladesh,Jute,
386,2019-10-01,Bangladesh,Jute,0.76
387,2019-09-01,Bangladesh,Jute,0.74
388,2019-08-01,Bangladesh,Jute,0.73
389,2019-07-01,Bangladesh,Jute,0.78
390,2019-06-01,Bangladesh,Jute,0.8
391,2019-05-01,Bangladesh,Jute,0.83
392,2019-04-01,Bangladesh,Jute,0.87
393,2019-03-01,Bangladesh,Jute,0.87
394,2019-02-01,Bangladesh,Jute,0.86
395,2019-01-01,Bangladesh,Jute,0.85
396,2018-12-01,Bangladesh,Jute,0.83
397,2018-11-01,Bangladesh,Jute,0.84
398,2018-10-01,Bangladesh,Jute,0.84
399,2018-09-01,Bangladesh,Jute,0.8
400,2018-08-01,Bangladesh,Jute,0.86
401,2018-07-01,Bangladesh,Jute,0.84
402,2018-06-01,Bangladesh,Jute,0.82
403,2018-05-01,Bangladesh,Jute,0.81
404,2018-04-01,Bangladesh,Jute,0.74
405,2018-03-01,Bangladesh,Jute,0.72
406,2018-02-01,Bangladesh,Jute,0.74
407,2018-01-01,Bangladesh,Jute,0.73
408,2017-12-01,Bangladesh,Jute,0.71
409,2017-11-01,Bangladesh,Jute,0.7
410,2017-10-01,Bangladesh,Jute,0.67
411,2017-09-01,Bangladesh,Jute,0.63
412,2017-08-01,Bangladesh,Jute,0.66
413,2017-07-01,Bangladesh,Jute,0.64
414,2017-06-01,Bangladesh,Jute,0.67
415,2017-05-01,Bangladesh,Jute,0.67
416,2017-04-01,Bangladesh,Jute,0.69
417,2017-03-01,Bangladesh,Jute,0.67
418,2017-02-01,Bangladesh,Jute,0.67
419,2017-01-01,Bangladesh,Jute,0.66
420,2016-12-01,Bangladesh,Jute,0.69
421,2016-11-01,Bangladesh,Jute,0.68
422,2016-10-01,Bangladesh,Jute,0.66
423,2016-09-01,Bangladesh,Jute,0.68
424,2016-08-01,Bangladesh,Jute,0.69
425,2016-07-01,Bangladesh,Jute,0.82
426,2016-06-01,Bangladesh,Jute,0.86
427,2016-05-01,Bangladesh,Jute,0.88
428,2016-04-01,Bangladesh,Jute,0.86
429,2016-03-01,Bangladesh,Jute,0.88
430,2016-02-01,Bangladesh,Jute,0.86
431,2016-01-01,Bangladesh,Jute,0.85
432,2015-12-01,Bangladesh,Jute,0.84
433,2015-11-01,Bangladesh,Jute,0.8
434,2015-10-01,Bangladesh,Jute,0.74
435,2015-09-01,Bangladesh,Jute,0.72
436,2015-08-01,Bangladesh,Jute,0.68
437,2015-07-01,Bangladesh,Jute,0.66
438,2015-06-01,Bangladesh,Jute,0.68
439,2015-05-01,Bangladesh,Jute,0.71
440,2015-04-01,Bangladesh,Jute,0.72
441,2015-03-01,Bangladesh,Jute,0.75
442,2015-02-01,Bangladesh,Jute,0.76
443,2015-01-01,Bangladesh,Jute,0.73
444,2014-12-01,Bangladesh,Jute,0.71
445,2014-11-01,Bangladesh,Jute,0.7
446,2014-10-01,Bangladesh,Jute,0.72
447,2014-09-01,Bangladesh,Jute,0.65
448,2014-08-01,Bangladesh,Jute,0.6
449,2014-07-01,Bangladesh,Jute,0.62
450,2014-06-01,Bangladesh,Jute,0.61
451,2014-05-01,Bangladesh,Jute,0.59
452,2014-04-01,Bangladesh,Jute,0.58
453,2014-03-01,Bangladesh,Jute,0.6
454,2014-02-01,Bangladesh,Jute,0.63
455,2014-01-01,Bangladesh,Jute,0.62
456,2013-12-01,Bangladesh,Jute,0.61
457,2013-11-01,Bangladesh,Jute,0.61
458,2013-10-01,Bangladesh,Jute,0.6
459,2013-09-01,Bangladesh,Jute,0.59
460,2013-08-01,Bangladesh,Jute,0.59
461,2013-07-01,Bangladesh,Jute,0.59
462,2013-06-01,Bangladesh,Jute,0.65
463,2013-05-01,Bangladesh,Jute,0.6
464,2013-04-01,Bangladesh,Jute,0.6
465,2013-03-01,Bangladesh,Jute,0.6
466,2013-02-01,Bangladesh,Jute,0.6
467,2013-01-01,Bangladesh,Jute,0.58
468,2012-12-01,Bangladesh,Jute,0.5
469,2012-11-01,Bangladesh,Jute,0.5
470,2012-10-01,Bangladesh,Jute,0.52
471,2012-09-01,Bangladesh,Jute,0.52
472,2012-08-01,Bangladesh,Jute,0.5
473,2012-07-01,Bangladesh,Jute,0.55
474,2012-06-01,Bangladesh,Jute,0.49
475,2012-05-01,Bangladesh,Jute,0.49
476,2012-04-01,Bangladesh,Jute,0.54
477,2012-03-01,Bangladesh,Jute,0.56
478,2012-02-01,Bangladesh,Jute,0.54
479,2012-01-01,Bangladesh,Jute,0.48
480,2011-12-01,Bangladesh,Jute,0.45
481,2011-11-01,Bangladesh,Jute,0.5
482,2011-10-01,Bangladesh,Jute,0.52
483,2011-09-01,Bangladesh,Jute,0.62
484,2011-08-01,Bangladesh,Jute,0.65
485,2011-07-01,Bangladesh,Jute,0.6
486,2011-06-01,Bangladesh,Jute,0.64
487,2011-05-01,Bangladesh,Jute,0.67
488,2011-04-01,Bangladesh,Jute,0.74
489,2011-03-01,Bangladesh,Jute,0.72
490,2011-02-01,Bangladesh,Jute,0.75
491,2011-01-01,Bangladesh,Jute,0.8
492,2010-12-01,Bangladesh,Jute,0.8
493,2010-11-01,Bangladesh,Jute,0.8
494,2010-10-01,Bangladesh,Jute,0.8
495,2010-09-01,Bangladesh,Jute,0.82
496,2010-08-01,Bangladesh,Jute,0.7
497,2010-07-01,Bangladesh,Jute,0.66
498,2010-06-01,Bangladesh,Jute,1.0
499,2010-05-01,Bangladesh,Jute,1.08
500,2010-04-01,Bangladesh,Jute,1.05
501,2010-03-01,Bangladesh,Jute,1.02
502,2010-02-01,Bangladesh,Jute,0.82
503,2010-01-01,Bangladesh,Jute,0.81
504,2020-06-01,Black Sea,Barley (feed),0.18
505,2020-05-01,Black Sea,Barley (feed),0.18
506,2020-04-01,Black Sea,Barley (feed),0.18
507,2020-03-01,Black Sea,Barley (feed),0.18
508,2020-02-01,Black Sea,Barley (feed),0.19
509,2020-01-01,Black Sea,Barley (feed),0.19
510,2019-12-01,Black Sea,Barley (feed),0.19
511,2019-11-01,Black Sea,Barley (feed),0.19
512,2019-10-01,Black Sea,Barley (feed),0.18
513,2019-09-01,Black Sea,Barley (feed),0.18
514,2019-08-01,Black Sea,Barley (feed),0.18
515,2019-07-01,Black Sea,Barley (feed),0.17
516,2019-06-01,Black Sea,Barley (feed),0.17
517,2019-05-01,Black Sea,Barley (feed),0.18
518,2019-04-01,Black Sea,Barley (feed),0.19
519,2019-03-01,Black Sea,Barley (feed),0.21
520,2019-02-01,Black Sea,Barley (feed),0.23
521,2019-01-01,Black Sea,Barley (feed),0.24
522,2018-12-01,Black Sea,Barley (feed),0.24
523,2018-11-01,Black Sea,Barley (feed),0.24
524,2018-10-01,Black Sea,Barley (feed),0.24
525,2018-09-01,Black Sea,Barley (feed),0.24
526,2018-08-01,Black Sea,Barley (feed),0.23
527,2018-07-01,Black Sea,Barley (feed),0.21
528,2018-06-01,Black Sea,Barley (feed),0.2
529,2018-05-01,Black Sea,Barley (feed),0.21
530,2018-04-01,Black Sea,Barley (feed),0.22
531,2018-03-01,Black Sea,Barley (feed),0.22
532,2018-02-01,Black Sea,Barley (feed),0.2
533,2018-01-01,Black Sea,Barley (feed),0.19
534,2017-12-01,Black Sea,Barley (feed),0.19
535,2017-11-01,Black Sea,Barley (feed),0.19
536,2017-10-01,Black Sea,Barley (feed),0.19
537,2017-09-01,Black Sea,Barley (feed),0.18
538,2017-08-01,Black Sea,Barley (feed),0.18
539,2017-07-01,Black Sea,Barley (feed),0.17
540,2017-06-01,Black Sea,Barley (feed),0.16
541,2017-05-01,Black Sea,Barley (feed),0.16
542,2017-04-01,Black Sea,Barley (feed),0.17
543,2017-03-01,Black Sea,Barley (feed),0.17
544,2017-02-01,Black Sea,Barley (feed),0.17
545,2017-01-01,Black Sea,Barley (feed),0.16
546,2016-12-01,Black Sea,Barley (feed),0.16
547,2016-11-01,Black Sea,Barley (feed),0.16
548,2016-10-01,Black Sea,Barley (feed),0.15
549,2016-09-01,Black Sea,Barley (feed),0.15
550,2016-08-01,Black Sea,Barley (feed),0.15
551,2016-07-01,Black Sea,Barley (feed),0.15
552,2016-06-01,Black Sea,Barley (feed),0.16
553,2016-05-01,Black Sea,Barley (feed),0.17
554,2016-04-01,Black Sea,Barley (feed),0.16
555,2016-03-01,Black Sea,Barley (feed),0.17
556,2016-02-01,Black Sea,Barley (feed),0.17
557,2016-01-01,Black Sea,Barley (feed),0.17
558,2015-12-01,Black Sea,Barley (feed),0.18
559,2015-11-01,Black Sea,Barley (feed),0.19
560,2015-10-01,Black Sea,Barley (feed),0.19
561,2015-09-01,Black Sea,Barley (feed),0.18
562,2015-08-01,Black Sea,Barley (feed),0.18
563,2015-07-01,Black Sea,Barley (feed),0.18
564,2015-06-01,Black Sea,Barley (feed),0.18
565,2015-05-01,Black Sea,Barley (feed),0.19
566,2015-04-01,Black Sea,Barley (feed),0.2
567,2015-03-01,Black Sea,Barley (feed),0.2
568,2015-02-01,Black Sea,Barley (feed),0.21
569,2015-01-01,Black Sea,Barley (feed),0.21
570,2014-12-01,Black Sea,Barley (feed),0.22
571,2014-11-01,Black Sea,Barley (feed),0.21
572,2014-10-01,Black Sea,Barley (feed),0.21
573,2014-09-01,Black Sea,Barley (feed),0.21
574,2014-08-01,Black Sea,Barley (feed),0.21
575,2014-07-01,Black Sea,Barley (feed),0.22
576,2014-06-01,Black Sea,Barley (feed),0.22
577,2014-05-01,Black Sea,Barley (feed),0.23
578,2014-04-01,Black Sea,Barley (feed),0.23
579,2014-03-01,Black Sea,Barley (feed),0.24
580,2014-02-01,Black Sea,Barley (feed),0.24
581,2014-01-01,Black Sea,Barley (feed),0.24
582,2013-12-01,Black Sea,Barley (feed),0.24
583,2013-11-01,Black Sea,Barley (feed),0.24
584,2013-10-01,Black Sea,Barley (feed),0.24
585,2013-09-01,Black Sea,Barley (feed),0.24
586,2013-08-01,Black Sea,Barley (feed),0.25
587,2013-07-01,Black Sea,Barley (feed),0.25
588,2013-06-01,Black Sea,Barley (feed),0.25
589,2013-05-01,Black Sea,Barley (feed),0.26
590,2013-04-01,Black Sea,Barley (feed),
591,2013-03-01,Black Sea,Barley (feed),
592,2013-02-01,Black Sea,Barley (feed),0.32
593,2013-01-01,Black Sea,Barley (feed),0.32
594,2012-12-01,Black Sea,Barley (feed),0.32
595,2012-11-01,Black Sea,Barley (feed),0.31
596,2012-10-01,Black Sea,Barley (feed),0.31
597,2012-09-01,Black Sea,Barley (feed),0.31
598,2012-08-01,Black Sea,Barley (feed),0.3
599,2012-07-01,Black Sea,Barley (feed),0.3
600,2012-06-01,Black Sea,Barley (feed),0.26
